"","ID","R","Python","SQL","Tableau","PowerBI","Azure","Excel","Talend","SAS","Spark"
"1","0a86df6537dd55bae815eded0d37b22e",0,1,1,0,0,0,0,0,0,0
"2","e5d5ea0a5bd6afdbec1ae750a3b1fde0",0,0,0,0,0,0,0,0,0,0
"3","9954507f9381b8b6a2e65405f762c8e5",0,1,1,1,1,0,1,0,0,0
"4","df5e98124a7ed4b46d132d11a2e122ae",0,1,1,1,1,0,1,0,0,0
"5","f70e5066ca9f0500afea2babe9805709",0,0,0,0,0,0,1,0,0,0
"6","9550a46a5f250dc3430332fce0d72a17",0,1,1,0,0,0,1,0,0,0
"7","0bf9f5ae5d83a0fcecee739c4aa6b43f",0,0,0,0,0,0,1,0,0,0
"8","66606ea66e2922dbb56aba7915782141",1,0,0,0,0,0,0,0,0,0
"9","d566c839f575b262ecc772b63c0715e3",0,0,0,0,0,0,0,0,0,0
"10","993327e19e3adb616b2dfafcd85c22f4",0,0,0,0,0,0,1,0,1,0
"11","998fabaa5dfff4d369cdad71356e4e75",0,0,0,0,0,0,0,0,0,0
"12","bf6b16e33917388781087b09bb032e4e",0,0,0,0,0,0,0,0,0,0
"13","d9f80d6a71c35abc553f4e9488943f6c",0,0,0,0,0,1,0,0,0,0
"14","c59f131514a7f4303bf5131d6e78ea44",0,0,0,0,0,1,0,0,0,0
"15","1b64720dd2c835e4e905fb04ccb8f235",1,1,1,0,0,0,1,0,0,0
"16","dcc8c4e0f505cabc256c14cc7e5e1d45",0,1,0,0,0,0,0,0,0,0
"17","386af5fb975c1923b9fcfbad13707a1c",0,0,0,0,0,0,0,0,0,0
"18","fbd544961e65e525ee422ab90bfbe7d0",1,0,0,0,0,1,1,0,0,0
"19","d09e11fc0a84072994047c9b35f719cf",0,1,0,0,1,1,1,0,0,0
"20","5ba9eb4936f0b99da5932b78031da630",0,0,0,0,0,0,0,0,0,0
"21","00ff1fc45b3871f209731dc5bd951768",0,0,0,0,0,0,1,0,0,0
"22","aadbe28d2f6f2e42b5d37d5e768242fc",0,0,1,0,0,0,0,0,0,0
"23","c1f40e9b33040f1f110018e032f2cb29",0,1,0,0,0,0,0,0,0,0
"24","f08f3d617d35caa976d6dfcc9503b6d5",0,0,0,0,0,1,1,0,0,0
"25","08e45890d52f36e37bc6e06d5ca61765",0,0,1,0,0,0,1,0,0,0
"26","a19856bcfd44fba961e9fe1780b0f4d8",0,0,1,1,1,0,0,0,0,0
"27","984cd6eee03a4a4ad2f04324ea5af842",0,0,1,0,0,0,1,0,1,0
